,serviceCharge,picturecount,pricetrend,telekomUploadSpeed,totalRent,yearConstructed,scoutId,noParkSpaces,yearConstructedRange,baseRent,livingSpace,baseRentRange,geo_plz,noRooms,thermalChar,floor,numberOfFloors,noRoomsRange,livingSpaceRange,lastRefurbish,americanArea,condition_num,newlyConst_num,balcony_num,hasKitchen_num,cellar_num,lift_num,garden_num,heatingType_num,interiorQual_num
0,235.0,8,5.13,40.0,930.0,1978.0,110401882,1.0,3.0,695.0,100.0,5,48157,2.0,162.0,1.0,3.0,2,4,2017.0,1076.39,0,0,1,0,1,0,0,15,13
1,180.0,18,4.98,40.0,1190.0,2018.0,113246709,1.0,9.0,1010.0,87.56,7,48167,3.0,14.0,1.0,1.0,3,4,2017.0,942.487084,6,1,1,0,1,1,1,9,13
2,140.0,6,6.67,40.0,809.0,1974.0,106998808,1.0,3.0,669.0,76.75,5,48159,3.0,201.0,1.0,11.0,3,3,2017.0,826.129325,2,0,1,0,1,1,0,11,6
3,180.0,1,6.93,10.0,911.5,1870.0,107382376,1.0,1.0,731.5,77.0,5,48151,2.0,97.3,1.0,3.0,2,3,2013.0,828.8203,2,0,0,0,1,0,0,30,6
4,170.0,19,6.81,40.0,1160.0,2018.0,107298660,1.0,9.0,990.0,85.0,6,48155,3.0,97.3,1.0,3.0,3,4,2017.0,914.9315,5,1,1,0,0,0,0,15,13
5,160.0,28,5.76,40.0,820.0,1968.0,111158701,1.0,2.0,660.0,75.0,5,48161,2.0,192.7,2.0,3.0,2,3,2017.0,807.2925,2,0,0,0,0,0,0,15,13
6,160.0,12,5.41,40.0,1260.0,2005.0,105927383,1.0,6.0,1100.0,134.0,7,48161,4.0,111.16,1.0,2.0,4,6,2017.0,1442.3626,0,0,1,0,0,0,0,15,13
7,100.0,12,4.73,40.0,1090.0,1968.0,115198859,1.0,2.0,990.0,120.0,6,48165,3.0,97.3,1.0,3.0,3,5,2010.0,1291.668,0,0,1,1,1,0,0,16,13
8,120.0,10,5.64,40.0,772.0,1975.0,111394140,1.0,3.0,652.0,72.54,5,48163,3.0,171.0,1.0,3.0,3,3,2017.0,780.813306,2,0,0,0,0,0,0,15,13
9,350.0,37,4.53,40.0,2030.0,2011.0,93600611,1.0,8.0,1680.0,138.0,8,48145,4.0,42.0,4.0,5.0,4,6,2017.0,1485.4181999999998,5,0,1,0,1,1,0,16,6
10,100.0,19,5.71,40.0,1050.0,1995.0,111307240,1.0,5.0,950.0,81.4,6,48167,3.0,97.3,1.0,3.0,3,4,2017.0,876.18146,6,0,1,1,1,1,1,15,13
11,170.0,6,4.66,40.0,995.0,1995.0,113844012,1.0,5.0,825.0,98.0,6,48159,4.0,97.3,1.0,2.0,4,4,2017.0,1054.8622,2,0,1,0,0,0,0,15,13
12,185.0,12,5.18,40.0,1073.0,1976.0,115472350,1.0,3.0,888.0,74.0,6,48153,2.0,163.7,1.0,3.0,2,3,2017.0,796.5286,0,0,1,0,1,0,1,11,13
13,140.0,9,4.74,40.0,910.0,2019.0,115198854,1.0,9.0,770.0,52.0,5,48165,2.0,40.6,1.0,3.0,2,2,2017.0,559.7228,6,1,1,0,0,1,0,15,13
14,170.0,13,4.98,40.0,1067.0,2018.0,113798410,1.0,9.0,897.0,78.0,6,48167,2.5,14.0,2.0,3.0,2,3,2017.0,839.5842,6,1,1,0,1,1,1,9,13
15,95.0,4,6.57,10.0,510.0,1972.0,111391562,1.0,3.0,415.0,32.0,3,48151,1.0,144.5,3.0,3.0,1,1,2017.0,344.4448,2,0,0,1,0,1,0,15,6
16,120.0,6,4.92,40.0,1100.0,1966.0,115658402,1.0,2.0,980.0,79.0,6,48151,3.0,146.5,3.0,3.0,3,3,2017.0,850.3480999999999,5,0,0,0,0,0,0,30,13
17,68.5,5,4.92,40.0,377.5,1984.0,113865987,1.0,4.0,309.0,28.0,2,48165,1.0,124.3,3.0,3.0,1,1,2017.0,301.3892,2,0,0,1,0,0,0,15,13
18,150.0,11,4.58,40.0,1400.0,2017.0,114834754,1.0,9.0,1250.0,116.0,7,48165,3.0,36.0,3.0,4.0,3,5,2017.0,1248.6124,5,0,1,0,1,1,0,29,13
19,234.0,4,6.12,40.0,3069.0,2018.0,110418665,1.0,9.0,2835.0,195.0,9,48153,4.0,97.3,1.0,5.0,4,7,2017.0,2098.9605,6,1,1,0,0,1,0,15,13
20,100.0,7,4.47,2.4,500.0,1995.0,115638872,1.0,5.0,400.0,31.0,2,48161,1.0,97.3,1.0,3.0,1,1,2020.0,333.6809,2,0,0,1,0,0,0,15,13
21,290.0,15,6.29,2.4,1760.0,2001.0,111395696,1.0,6.0,1470.0,122.5,7,48151,4.0,80.3,1.0,3.0,4,6,2017.0,1318.57775,2,0,1,1,1,0,0,15,13
22,80.0,12,6.25,40.0,743.0,2003.0,106535548,1.0,6.0,663.0,78.0,5,48165,3.0,77.0,1.0,3.0,3,3,2017.0,839.5842,2,0,0,0,0,0,0,15,13
23,80.0,9,4.26,40.0,440.0,1969.0,115651109,1.0,2.0,360.0,21.0,2,48161,1.0,97.3,1.0,3.0,1,1,2017.0,226.0419,1,0,0,0,1,0,0,15,13
25,50.0,1,6.49,10.0,500.0,1956.0,73718243,1.0,2.0,450.0,42.0,3,48145,1.5,95.9,1.0,3.0,1,2,2006.0,452.0838,0,0,0,0,0,0,1,30,6
26,129.0,3,5.95,40.0,418.0,1974.0,114243776,1.0,3.0,289.0,24.0,1,48159,1.0,139.1,1.0,7.0,1,1,2017.0,258.3336,0,0,0,0,0,0,0,15,13
27,300.0,17,5.0,40.0,2800.0,1948.0,113737537,1.0,1.0,2500.0,172.0,9,48143,4.0,99.0,3.0,3.0,4,7,2017.0,1851.3908,6,0,1,0,1,1,0,15,13
28,200.0,4,4.98,40.0,975.0,2019.0,110679221,1.0,9.0,775.0,78.0,5,48165,2.0,41.0,1.0,3.0,2,3,2017.0,839.5842,6,1,1,0,1,0,0,15,13
