,regio1,serviceCharge,heatingType,telekomTvOffer,telekomHybridUploadSpeed,newlyConst,balcony,picturecount,pricetrend,telekomUploadSpeed,totalRent,yearConstructed,scoutId,noParkSpaces,firingTypes,hasKitchen,geo_bln,cellar,yearConstructedRange,baseRent,houseNumber,livingSpace,geo_krs,condition,interiorQual,petsAllowed,street,streetPlain,lift,baseRentRange,typeOfFlat,geo_plz,noRooms,thermalChar,floor,numberOfFloors,noRoomsRange,garden,livingSpaceRange,regio2,regio3,description,facilities,heatingCosts,energyEfficiencyClass,lastRefurbish,electricityBasePrice,electricityKwhPrice,date,americanArea,condition_num
72,Nordrhein_Westfalen,90.0,self_contained_central_heating,ONE_YEAR_FREE,,True,False,1,5.97,40.0,690.0,2018.0,107359974,,gas,True,Nordrhein_Westfalen,False,9.0,600.0,29,50.8,Münster,first_time_use_after_refurbishment,sophisticated,no,Universit&auml;tsstrasse,Universitätsstrasse,False,4,apartment,48143,1.0,86.0,1.0,3.0,1,False,2,Münster,Überwasser,"Die Wohnung liegt in Zentaler Lage von Münster mit Blick zum Schlossplatz. Die sanierte Etagenwohnung im 1.OG besticht durch Ihre Schloss-, Universitäts- und Zentrumsnähe sowie zum Aasee und zum Dom. Sie besteht aus einem Wohnschlafraum ( ca.27qm), einer Küche mit neuer EBK und einer Anschlussmöglichkeit einer WM. Des weiteren ein kleiner Flur und ein neues Bad mit Dusche incl. Einbaumöbel.","Schallschutzfenster mit el. Rolladen, Echtholz Eichenparkett im Hauptzimmer, Diele, Küche und Bad sind mit Fliesen versehen. Neue Türen (zur Küche und Hauptzimmer neue Glastüren) Kabelanschluss TV vorhanden, Klingel-Sprechanlage Waschzentrum im Keller gegen Gebühr vorhanden.",,NO_INFORMATION,2018.0,90.76,0.1915,Sep18,546.80612,3.0
73,Nordrhein_Westfalen,120.0,floor_heating,ONE_YEAR_FREE,,True,True,1,6.63,40.0,900.0,2019.0,110630776,1.0,gas,False,Nordrhein_Westfalen,False,9.0,780.0,25,60.0,Münster,first_time_use,sophisticated,negotiable,Kr&ouml;gerweg,Krögerweg,False,5,apartment,48155,2.0,,2.0,2.0,2,False,2,Münster,Gremmendorf_West,"Zum 15.05.2019 können Sie diese Wohnung in der 2. Etage eines Mehrfamilienhauses im Gewerbe-Mischgebiet Münster-Gremmendorf, die durch eine gehobene Innenausstattung besticht, beziehen. Bei dieser ansprechenden Wohnung handelt es sich um einen Erstbezug, in einer 2019 neu errichteten Etage einer Bestandsimmobilie. Die Wohnung bietet eine optimale Raumaufteilung und verfügt über einen Balkon. Zur Verfügung steht Ihnen außerdem ein Stellplatz.",- Eichenparkett - bodentiefe Fenster - Fußbodenheizung - elektronische Verdunklung in allen Räumen - LED Einbauleuchten - LAN-Anschlüsse in mehreren Räumen - Abstellraum mit WaMa-Anschluss,,,,,,May19,645.834,5.0
74,Nordrhein_Westfalen,185.0,oil_heating,ONE_YEAR_FREE,,False,True,10,5.94,10.0,1095.0,,113862963,,oil,False,Nordrhein_Westfalen,True,,910.0,,83.0,Münster,first_time_use_after_refurbishment,,,no_information,,False,6,apartment,48155,2.5,,,,2,False,4,Münster,Gremmendorf_West,"Die attraktive Wohnung kann zum 01.11.2019 bezogen werden. Es handelt sich um einen Erstbezug nach Sanierung. Neben zwei einladenden Zimmern  und einer großzügigen Wohnküche  zählen zu dem Objekt ein Badezimmer mit Wannenbad sowie ein separates Gäste-Bad mit Dusche. Die Strom- und Wasserinstallation wurde erneuert. Die Bäder sind neu. Die Fenster wurden zum großen Teil erneuert. Alle Böden wurden erneuert. Außerdem wurden sämtliche Türen einschließlich der Wohnungstür erneuert. Die Wohnung ist mit Glattvlies tapeziert und frisch gestrichen. Zur Wohnung gehört auch ein über das Wohnzimmer begehbarer Balkon, auf dem es sich wunderbar vom Alltag erholen lässt. Ihnen steht außerdem ein Kellerraum sowie eine Waschküche mit Anschlüssen für Waschmaschine und Trockner zur Verfügung.","Mit Ausnahme der Küche und der Bäder, die mit einem neuen Fliesenboden versehen sind, sind alle anderen Räume und der Flur mit einem Mosaik-Eichenparkett versehen, der entweder neu abgeschliffen und versiegelt oder neu verlegt ist.",,,2019.0,,,Oct19,893.4037,3.0
75,Nordrhein_Westfalen,168.0,,,,True,False,10,5.51,,1116.0,2019.0,111057277,1.0,,False,Nordrhein_Westfalen,True,9.0,878.0,28,69.66,Münster,first_time_use,sophisticated,,Regina-Protmann-Stra&szlig;e,Regina-Protmann-Straße,True,6,apartment,48159,2.5,,2.0,3.0,2,False,3,Münster,Kinderhaus_Ost,"- Verteilt auf vierzehn Gebäude mit drei- und viergeschossiger Bauweise - 161 hochwertige und barrierearme Wohnungen in vier Bauabschnitten - klar strukturierte Grundrisse - 2,5- bis 4,5-Raum-Wohnungen variieren zwischen ca. 55 und 102 m² - Sowohl Singles als auch Paare aller Altersgruppen sowie Familien sind angesprochen - Energieeffiziente Bauweise nach KfW 55-Standard - Tiefgaragen- und/oder Außenstellplätze stehen zur Verfügung Bezugsfertig zum 01.10.2019 Auf Grund der vorzeitigen Fertigstellung liegt noch kein Energieausweis vor. Dieser wird jedoch kurzfristig nachgereicht. Kontaktieren Sie uns auch über den Messenger auf Ihrem Smartphone. Schreiben Sie uns die Objekt-ID „110057-5-M“ in WhatsApp an 0151 7277 7077, in Telegram an VivawestWohnen oder in Threema an *VVWCHAT.",Moderne und Stilvolle Ausstattung mit: - stufenlosem Zugang zu allen Wohnungen und Kellern durch einen Aufzug im Haus - hochwertigem Echtholzparkettfußboden in allen Wohn- und Schlafräumen - weiß gestrichenen Raufasertapeten in allen Räumen - großzügigen Terrassen- oder Balkonflächen - dreifach isolierverglasten Fenster - elektrischen Rollläden an allen Fensterflächen in der gesamten Wohnung - Videogegensprechanlage - überwiegend bodentiefen Fenster - regulierbarer Fußbodenheizung in allen Räumen - hochwertiger Sanitärausstattung mit ebenerdiger Dusche und/oder Badewanne - Waschmaschinenanschluss in jeder Wohnung - Separatem Kellerbereich,70.0,,,,,May19,749.813274,5.0
78,Nordrhein_Westfalen,196.0,central_heating,ONE_YEAR_FREE,,False,True,10,6.86,40.0,1186.0,1947.0,109775064,0.0,gas,True,Nordrhein_Westfalen,True,1.0,990.0,,74.5,Münster,refurbished,sophisticated,no,no_information,,False,6,apartment,48153,2.0,109.0,,3.0,2,False,3,Münster,Josefsviertel,"Die Wohnung befindet sich in einem sehr gepflegten, in Massivbauweise erstellten Mehrfamilienhaus im 3. und 4. Obergeschoss mit insgesamt acht Wohneinheiten. Das Haus verfügt über eine Abstellmöglichkeit für Fahrräder, einen Waschkeller mit Waschmaschine und Trockner (Wertmarkenautomat) und gemeinschaftliche Kelleranlagen, sowie über sep. Kellerräume.","- Stilvoll über 2 Etagen: unten Wohnen, oben Schlafen - Dachterrasse und Balkon - hochwertiger Parkettboden - 2 Bäder - große Fenster für lichtdurchflutete Räume - elegante Einbauküche bestehend aus einem Herd mit vier Herdplatten, Dunstabzugshaube, Spüle sowie Ober-/Unterschränken Eine Zahlung der Kaution oder die Hinterlegung einer Bürgschaft ist Voraussetzung. Es wird eine Mindest-Mietzeit mit dem Vermieter sowie die einmalige Zahlung einer Malerpauschale vereinbart. Gerne erläutern wir Ihnen Näheres in einem Telefonat. Sie fühlen sich angesprochen? Wir stehen zur Vereinbarung eines Besichtigungstermins telefonisch als auch persönlich zur Verfügung.",,,,,,May19,801.91055,4.0
79,Nordrhein_Westfalen,129.0,central_heating,ONE_YEAR_FREE,,False,True,4,5.95,40.0,415.15,1983.0,107374233,,gas,False,Nordrhein_Westfalen,True,4.0,254.15,32,46.86,Münster,,,,Osterstr.,Osterstr.,True,1,apartment,48163,2.0,95.0,2.0,,2,False,2,Münster,Mecklenbeck,"Diese Wohnung befindet sich in einem ruhigen und gepflegten Mehrfamilienhaus. Sie verfügt über 2 Zimmer, Küche, Diele, Bad, Balkon und einen Kellerraum.",Aufzug; Isolierverglasung; Warmwasserbereiter; Waschmaschinenanschluss; Kellerraum; Abstellkammer; Gas-Zentralheizung; Bodenbelag PVC; Außenbeleuchtung; Fassadenvollwärmeschutz; Balkon;,32.0,,,90.76,0.1915,Sep18,504.396354,3.0
81,Nordrhein_Westfalen,120.0,gas_heating,ONE_YEAR_FREE,,False,True,10,4.92,40.0,950.0,1985.0,113791612,1.0,gas,True,Nordrhein_Westfalen,True,4.0,830.0,36,60.0,Münster,,sophisticated,no,Klosterstrasse,Klosterstrasse,False,6,apartment,48143,2.0,113.0,1.0,5.0,2,False,2,Münster,Domviertel,Schön geschnittene Zweizimmerwohnung im Stadtzentrum innerhalb der Promenade. Ruhig und zentral mit großer Terrasse und Balkon.,"Einbauküche, Vinylboden",,,2017.0,,,Oct19,645.834,3.0
82,Nordrhein_Westfalen,145.0,floor_heating,,,True,False,10,4.49,,699.0,2019.0,114636440,1.0,district_heating,True,Nordrhein_Westfalen,False,9.0,554.0,47+49,29.0,Münster,mint_condition,sophisticated,no,Bahnhofstra&szlig;e,Bahnhofstraße,True,4,apartment,48143,1.0,52.4,1.0,6.0,1,False,1,Münster,Bahnhofsviertel,"Die hier angebotene Wohnung ist Teil der neu entstehenden Wohnanlage „Universe“. Sie befindet sich in zentraler Lage in unmittelbarer Nähe zum Münsteraner Hauptbahnhof. Das nach neusten energetischen Standards (KfW 55) errichtete Universe beherbergt insgesamt 91 voll möblierte Wohnungen – ideal für Studenten und Pendler, die flexibel bleiben möchten. Das Gebäude verfügt über zwei Aufzüge, die von der Tiefgarage bis in jedes Geschoss führen. Gesicherte Unterstellmöglichkeiten für Ihr Fahrrad befinden sich in der Tiefgarage und im Innenhof. Für Ihren PKW gibt es zudem 12 Stellplätze in der Tiefgarage, die Sie bei Bedarf für einen Mietpreis von 100,00 EUR/ Monat anmieten können. Das Apartment wird mit einer Mindestmietdauer von 6 Monaten vermietet. Danach gilt die gesetzliche Kündigungsfrist von 3 Monaten. Die Kosten für Strom und Internet sind bereits in den Nebenkosten enthalten. Eine jährliche Abrechnung der Nebenkosten erfolgt nicht.","Dieses intelligent geschnittene Apartment im ersten Obergeschoss empfängt Sie hell und freundlich. Im Eingangsbereich befindet sich eine praktische Garderobe mit einer integrierten Sitzbank, die zusätzlichen Stauraum bietet. Zudem wurden hier zwei geräumige Kleiderschränke platziert. Neben der modernen Küchenzeile mit cappucinofarbenen Fronten und hochwertigen Elektrogeräten wurde durch ein kombiniertes Barelement mit zwei Barhockern ein stylischer Essplatz geschaffen. Daran angrenzend befindet sich ein moderner Arbeitsplatz, bestehend aus einem weißen Schreibtisch und einem hellgrauen Stuhl im Vitra-Eames Stil. Der Schlafbereich besteht aus einem Bett mit den Maßen 120 x 200 cm, welches durch das Aufstellen großer Kissen ebenso als Sofa fungieren kann. Unter dem Bett befindet sich außerdem ein praktischer Bettkasten, um weitere Staufläche zu schaffen. Zwei Beistelltische, die Sie als Nacht- oder TV-Tische nutzen können, runden die Möblierung ab. Die Möblierung im skandinavischen Look ist perfekt auf das Apartment abgestimmt, sodass Sie keine weiteren Möbel mitbringen müssen. Die bodentiefen Fenster sorgen zudem für einen ausreichenden Lichteinfall. In dem Badezimmer wurde auf eine moderne Ausstattung geachtet: Neben den hochwertigen Armaturen und der ebenerdigen Dusche wurden ein Handtuchheizkörper zusätzlich zur Fußbodenheizung sowie ein Badspiegel mit integrierter Beleuchtung und ein Badschrank eingebracht. Zusätzlich gibt es einen allgemeinen Wasch- und Trockenraum mit Münzzählern im Keller. Die Wohnung verfügt über eine Fußbodenheizung mit Temperaturreglern in jedem Raum, 3-fach verglaste Fenster und Sonnenschutz mittels Verdunkelungsvorhängen. Sämtliche Böden wurden mit hochwertigem PVC-Boden in Holzoptik ausgelegt. Die Ausstattungsmerkmale im Überblick: • Maßgefertigtes Mobiliar und Küche • Aufzug zu der Wohnung • Fußbodenheizung mit Temperaturregler in jedem Raum • Sonnenschutz mit mittels Verdunkelungsvorhängen • 3-fach-verglaste Fenster mit Pilzbeschlag (gegen Aufhebeln) • Hochwertige Innenausstattung • Handtuchheizkörper im Bad (zusätzlich zur Fußbodenheizung) • Großzügiger Badspiegel mit integrierter Beleuchtung • Sicherheitsverglasung im EG • allgemeiner Wasch- und Trockenraum mit Münzzählern Bitte beachten Sie, dass es sich bei den hier verwendeten Fotos um Beispielfotos handelt und nicht der tatsächlich angebotenen Wohnung entsprechen.",,NO_INFORMATION,,,,Feb20,312.1531,6.0
84,Nordrhein_Westfalen,135.0,central_heating,ONE_YEAR_FREE,10.0,False,True,15,5.13,2.4,902.0,1958.0,85574807,1.0,natural_gas_light,False,Nordrhein_Westfalen,True,2.0,657.0,16,73.01,Münster,modernized,normal,no,Schwalbenweg,Schwalbenweg,False,5,apartment,48167,3.0,80.3,1.0,2.0,3,False,3,Münster,Gremmendorf_Ost,Wir vermieten eine ruhige 3-Zimmerwohnung im 1. Obergeschoss mit zwei Balkonen und Garage.,"Die Wohnung ist mit einem Laminatboden in den Wohnräumen und hellen Fliesen in der Küche und im Badezimmer ausgestattet. Im Jahr 2009 wurden umfangreiche Modernisierungsarbeiten am und im Haus durchgeführt, bei denen unter anderem die Fenster, die Wohnungseingangstür, die Haustüranlage sowie die Heizungsanlage (Gas-Zentralheizung) erneuert wurden. Desweiteren ist das Haus mit einer Wärmedämmfassade aufgewertet und es sind elektronische Heizkostenverteiler und Wasseruhren installiert. Zu der Wohnung gehört ein separater Kellerraum.",60.0,NO_INFORMATION,2009.0,90.76,0.1915,Sep18,785.872339,1.0
85,Nordrhein_Westfalen,220.0,central_heating,ONE_YEAR_FREE,,False,True,0,4.17,10.0,990.0,1977.0,115658840,1.0,gas,False,Nordrhein_Westfalen,True,3.0,770.0,37,93.0,Münster,well_kept,normal,negotiable,Hegerskamp,Hegerskamp,False,5,apartment,48155,4.0,103.0,3.0,3.0,4,True,4,Münster,Mauritz_Ost,"Diese in einer ruhigen Wohnlage gelegene Wohnung befindet sich in der 3 Etage eines 8 Parteien Hauses. Das Bad mit Badewanne und das Gäste WC wurden 2016 vollständig erneuert. Der Südwest-Balkon hat eine Größe von ca.1,30 × 4,00 m. Zu der Wohnung gehört ein abschließbarer Kellerraum und ein gemeinschaftlicher Fahrrad -und Wäschetrockenraum.",Die Räume sind einheitlich mit 12mm dicken Laminat ausgelegt. Das Bad und Gäste WC ist gekachelt.,,D,2016.0,,,Feb20,1001.0427,0.0
